group,n,faces_raw_med,faces_raw_min,faces_dec_med,faces_dec_min,faces_dec_max,verts_dec_med,verts_dec_min,verts_dec_max,n_below_target
EXP,59,493970,157498,20000,20000,20000,29687,17890,49569,0
SDG,55,187894,51094,20000,20000,20000,24186,17017,36988,0
