group,min,Q1,median,Q3,max,mean,n_scars
EXP,2.271809295048941,11.902208818954572,18.37779491941294,27.689325612429787,119.04358867477912,22.189401627487566,1185
SDG,3.4572140387890364,14.443775577590957,21.28229908210106,34.38517995336906,185.27889114766958,27.88928013527097,503
