face_target,smooth_iters,setting,is_production,exp_morph_cumpower_l8,exp_morph_maxcv_l8,sdg_morph_cumpower_l8,sdg_morph_maxcv_l8,exp_morph_perm_R2,exp_morph_perm_F,exp_morph_perm_p,exp_morph_nsig,exp_morph_npairs,exp_morph_sig_pairs,sdg_morph_coretype_R2,sdg_morph_coretype_F,sdg_morph_coretype_p,sdg_morph_rawmat_R2,sdg_morph_rawmat_p,sdg_morph_layer_R2,sdg_morph_layer_p,exp_mantel_r,exp_mantel_p,exp_RV,exp_RV_p,exp_n,sdg_mantel_r,sdg_mantel_p,sdg_RV,sdg_RV_p,sdg_n,im_morph_corr_vs_prod,im_morph_mantel_vs_prod
10000,3,f10000_s3,FALSE,98.57924498766462,88.63630957662065,98.59244206111647,61.083419275755105,0.12133108684724846,1.8296276067827195,0.044,0,10,,0.18522923201344185,2.0005838522488326,0.0135,0.030792775849520015,0.1642,0.029772127366591922,0.2014,-0.06397240375668374,0.7997,0.09918115655099513,0.1367,58,-0.058267192095068074,0.7761,0.07215567124552072,0.6131,51,0.9961430511709457,0.9946415489272632
20000,3,f20000_s3,TRUE,98.37126820456983,83.04773458683302,98.29097566304155,54.64162710521124,0.10696051773137157,1.5869699918982618,0.082,0,10,,0.18770190528243877,2.0334613330095146,0.0107,0.04066342059156592,0.0831,0.017594206670768796,0.4844,-0.06125642786107344,0.8012,0.10094661583002755,0.1202,58,0.011889663509483853,0.4251,0.09065986577433847,0.3126,51,1,1
50000,3,f50000_s3,FALSE,97.98307871902284,87.90139243254755,97.76150884862066,67.65273453926162,0.15403214710545693,2.412533693998089,0.003,2,10,Multiplatform-Levallois; Unidirectional-Levallois,0.19325330368871077,2.10800872223771,0.0094,0.0479583405913447,0.0564,0.013560560927954267,0.6186,-0.10588079516691341,0.9328,0.10023654632799678,0.1181,58,0.10174366925453568,0.0976,0.09283372582324083,0.266,51,1,1
20000,0,f20000_s0,FALSE,98.05844403915557,86.22518882282824,97.7535949760908,69.60185031066565,0.1346038294563546,2.060906670266747,0.02,2,10,Multiplatform-Levallois; Unidirectional-Levallois,0.21587114375205924,2.4226452704572425,0.0028,0.01285732411010908,0.6237,0.0074213779700987295,0.874,-0.06912851872939754,0.8279,0.11611821239728821,0.043,58,0.07136140011828218,0.1671,0.0897091924581153,0.3015,51,0.7937039366863304,0.6766928309785453
20000,6,f20000_s6,FALSE,98.48672872955468,82.48597360354391,98.4109643737035,57.29678869578747,0.11037997811204665,1.6439993188112203,0.066,0,10,,0.17839306960653536,1.9107178316834683,0.0178,0.050964807517676056,0.0405,0.02300000615616326,0.3337,-0.048022915917763226,0.7346,0.09524946667973594,0.1821,58,-0.002090080305090447,0.4959,0.08519086059427185,0.3931,51,0.9690292220810567,0.9017059131344844
