version,version_label,space,space_label,n,n_perm,seed,term,df,SumOfSqs,R2,pseudo_F,p,permutation
A,"A raw SDI, full sample",combined,D_comb (MFA-normalised join),50,9999,42,SDI,1,0.09578676719205648,0.021929444423746582,1.27436094537566,0.2488,restricted_within_rawmat
A,"A raw SDI, full sample",combined,D_comb (MFA-normalised join),50,9999,42,Raw_mat:SDI,1,0.10316676305884642,0.023619022368096196,1.3725454732114715,0.1414,restricted_within_rawmat
A,"A raw SDI, full sample",combined,D_comb (MFA-normalised join),50,9999,42,Residual,41,3.081746556284042,0.705535762561029,NA,NA,restricted_within_rawmat
A,"A raw SDI, full sample",combined,D_comb (MFA-normalised join),50,9999,42,Total,49,4.367952299253534,1,NA,NA,restricted_within_rawmat
B,"B log(SDI), full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",50,9999,42,Raw_mat,1,1.3213156005416964,0.017650717941227773,1.0423181635548604,0.3674,free
B,"B log(SDI), full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",50,9999,42,core_type,5,16.98209044351528,0.2268542718696591,2.679260173292537,0.0029,free
B,"B log(SDI), full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",50,9999,42,SDI,1,1.9894631263745062,0.026576127977080873,1.569385506000728,0.1885,free
B,"B log(SDI), full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",50,9999,42,Raw_mat:SDI,1,2.5916842303482177,0.03462086372389033,2.0444468727858633,0.0985,free
B,"B log(SDI), full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",50,9999,42,Residual,41,51.97447527676919,0.6942980184881421,NA,NA,free
B,"B log(SDI), full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",50,9999,42,Total,49,74.85902867754888,1,NA,NA,free
B,"B log(SDI), full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",50,9999,42,Raw_mat,1,1.3213156005416964,0.017650717941227773,1.0423181635548604,0.0017,restricted_within_rawmat
B,"B log(SDI), full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",50,9999,42,core_type,5,16.98209044351528,0.2268542718696591,2.679260173292537,0.0022,restricted_within_rawmat
B,"B log(SDI), full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",50,9999,42,SDI,1,1.9894631263745062,0.026576127977080873,1.569385506000728,0.1508,restricted_within_rawmat
B,"B log(SDI), full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",50,9999,42,Raw_mat:SDI,1,2.5916842303482177,0.03462086372389033,2.0444468727858633,0.0638,restricted_within_rawmat
B,"B log(SDI), full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",50,9999,42,Residual,41,51.97447527676919,0.6942980184881421,NA,NA,restricted_within_rawmat
B,"B log(SDI), full sample",scar,"D_scar (SP-SPHARM, l = 1-6)",50,9999,42,Total,49,74.85902867754888,1,NA,NA,restricted_within_rawmat
B,"B log(SDI), full sample",morph,"D_morph (M-SPHARM, l = 1-8)",50,9999,42,Raw_mat,1,3.8807142815719184,0.04181275024112994,2.4223008511172064,0.0495,free
B,"B log(SDI), full sample",morph,"D_morph (M-SPHARM, l = 1-8)",50,9999,42,core_type,5,19.626522910338057,0.21146594183671072,2.450133645547653,0.0022,free
B,"B log(SDI), full sample",morph,"D_morph (M-SPHARM, l = 1-8)",50,9999,42,SDI,1,1.8517605634727055,0.019951791430389894,1.1558493781068344,0.2983,free
