ID,n_faces_original,n_faces_decimated,power_l0,power_l1,power_l2,power_l3,power_l4,power_l5,power_l6,power_l7,power_l8,power_l9,power_l10,power_l11,power_l12,power_l13,power_l14,power_l15,power_l16,power_l17,power_l18,power_l19,power_l20
EXP01_Levallois preferential,492608,50000,0.0,0.13269454231044991,0.6354804727034836,0.05875561557154449,0.0943844616309736,0.03889178712737181,0.007462844007468071,0.014991605010451724,0.0036997045873843728,0.0035123472033690515,0.0020952942870834062,0.0015662004264860331,0.0012285040907428412,0.0011432334388390383,0.0009499547901661259,0.0007107006594870129,0.0007103394648903167,0.0005422567149972322,0.00045032573905859206,0.0003694548168207991,0.0003603554189317242
EXP02_Cylindrical bidirectional,492462,50000,0.0,0.12261179988143484,0.6369452029534268,0.08357778132999405,0.0591343658283944,0.03889834343117353,0.023082596882735135,0.007536388428954823,0.005981004208105132,0.007188281477510168,0.0028084895830409024,0.004151475237597167,0.0013364544198805283,0.0016033936336415327,0.0005946493897149338,0.002067577921389838,0.0003610061375486261,0.0008953073397565903,0.0004662611559102808,0.0004983312450779074,0.0002612895147126285
EXP03_Conical unidirectional,389924,50000,0.0,0.8225488421098902,0.037231818163938855,0.04237317212634675,0.07256086067710671,0.004152799653477877,0.003946734430750982,0.006184350428424679,0.0017629979523700451,0.0037427301422148763,0.0013198654685622551,0.0017834893365385168,0.00038175675222688166,0.00031885603169456034,0.0005636594854098722,0.00030500441331602826,0.0002603387165684512,0.00010964773549298206,0.0001934614367212196,0.00011768080598108424,0.00014193413296723211
EXP04_Levallois preferential,493228,50000,0.0,0.35272091117096555,0.503262316758295,0.016729406798431826,0.07163516166144647,0.017837750359505435,0.015784171245110935,0.008220672554482398,0.003936762313071587,0.0026993933159958454,0.001875312575589339,0.0013328517466093012,0.0008893917109761334,0.0007482791956491111,0.0006033424959562736,0.0003896128138322124,0.0003664032267818678,0.0002809301757880171,0.00022454863892358925,0.000301215072354662,0.0001615661702345049
EXP05_Levallois preferential,382298,50000,0.0,0.08761501568258097,0.6644012491156752,0.08206349059326523,0.09623355731114759,0.024325154444255946,0.00821807704693094,0.01049191070618764,0.007254578520697976,0.005724537261620569,0.0023555750314705123,0.0034172939847571565,0.001360764414560121,0.0014616793391306335,0.0011979097271257227,0.0008105127425826144,0.0010229009852593728,0.0005655349192048818,0.0005869709396445502,0.00055188002974342,0.00034140720415884327
EXP06_Levallois convergent,768016,50000,0.0,0.6088992304724401,0.1843561595007043,0.137525672782972,0.02102180818818013,0.01930913920255958,0.008175813651422115,0.004590029815711394,0.006982346537266519,0.002371273589048451,0.00175818070899632,0.0013026498526881151,0.00091626101616656,0.000721379956476863,0.0004303494944181975,0.0005107022491666164,0.00026962902787086194,0.00027715007237222056,0.00025834434953536374,0.00016024602779932606,0.00016363350420486143
EXP07_Levallois preferential,499182,50000,0.0,0.21143754985164878,0.6111328440325342,0.026150118499527693,0.10046054060478862,0.007457686308094222,0.02120731176632636,0.006747524785045477,0.004893241559413357,0.003836620742892457,0.001666057261535096,0.0017125998333654246,0.0007455391416142305,0.0007698751579826541,0.0003742193380342118,0.00040458370279460655,0.0002387447633063542,0.0002828235053039918,0.00014099401581022729,0.00023109698184274166,0.00011002814813956757
EXP08_Levallois preferential,490300,50000,0.0,0.08931753816977557,0.49921850234621656,0.27481400841162196,0.02490854027388397,0.052996914381482116,0.019746601119743922,0.011309788405183574,0.009091330831017971,0.002320370807081928,0.0060878361628727,0.0021155761104781423,0.001462093318782828,0.0019539372894822053,0.0007172155877193606,0.001153244486020346,0.0007234366210316864,0.000706826823755816,0.0006849401951665243,0.00030241693553883896,0.00036888172314410134
EXP09_Levallois preferential,290334,50000,0.0,0.034252291758260715,0.7098329072684317,0.08844964749895849,0.07564989807233874,0.052056980647906766,0.006910651718665972,0.015300481337523923,0.003409972570764857,0.004092242953459645,0.001188883382785028,0.0014665460178908852,0.0012142703651363603,0.0006458026008260717,0.0015251299396769832,0.0005498794288518726,0.0009589816169819069,0.0007689323959340016,0.0006496761351490841,0.0006128716223785781,0.0004639526680784967
EXP10_Cylindrical unidirectional,508202,50000,0.0,0.550958903171136,0.24472747661505834,0.023906692367344558,0.03905427930173857,0.05490429087559606,0.02351146322081748,0.03050071631583126,0.006272396715148969,0.004543625179845481,0.005054280665165572,0.004363406943209737,0.002851366648670355,0.0026871977339286254,0.001971891207762102,0.0007403992490119021,0.0011095852904307254,0.0011839418397161822,0.0006885755730012686,0.0004752394065963636,0.000494271679990492
