ID,n_faces_original,n_faces_decimated,power_l0,power_l1,power_l2,power_l3,power_l4,power_l5,power_l6,power_l7,power_l8,power_l9,power_l10,power_l11,power_l12,power_l13,power_l14,power_l15,power_l16,power_l17,power_l18,power_l19,power_l20
EXP01_Levallois preferential,492608,20000,0.0,0.13325060999759333,0.6425125408512,0.05458039432765542,0.0929082543809725,0.03816574971863399,0.007315336012351185,0.014539703763121758,0.0035842066204536346,0.0033810246721973592,0.0021123149787499857,0.0014578233162849902,0.0012186803757300922,0.0011053392818155142,0.0009052883082338328,0.0006938646819361039,0.0006666478323847144,0.0005339550670969704,0.0004020153907734103,0.00033444714151680525,0.0003318032812984789
EXP02_Cylindrical bidirectional,492462,20000,0.0,0.10681046514543097,0.6751655401078558,0.06079586778800492,0.06010915133365286,0.036681890465265446,0.026932192604836827,0.006589726372433996,0.005851738879976676,0.005983478947273889,0.0028818252290333203,0.004160666364890126,0.001753453101822389,0.0013348765595956754,0.0007462774008774661,0.0019210171581508111,0.00028061398383855097,0.0009167036962455288,0.00030295060316883206,0.0005228463346510951,0.0002587179229946148
EXP03_Conical unidirectional,389924,20000,0.0,0.39595551544272856,0.06433670030493437,0.411205759423406,0.03637697632867654,0.020496934169671334,0.027186478048566966,0.016058947704263263,0.006185899411523113,0.00855534925971437,0.003293926588046035,0.0020533111956677753,0.002920188187502628,0.0012733312877051001,0.0010757706643942375,0.0008550299393184889,0.0006275788884721094,0.0006088235190917947,0.0003181185100762639,0.00030851247077487106,0.00030684865546630106
EXP04_Levallois preferential,493228,20000,0.0,0.3136052074559552,0.5402567469054849,0.014984553269090626,0.07303670260690426,0.02074373266759929,0.01439166285341991,0.009297648830208229,0.003537458458268661,0.0030192117977725667,0.0016459881889833265,0.0014772351086482609,0.0007981376980528002,0.0007371682073311559,0.0006635011585962775,0.00041751447765643417,0.00031877044953670323,0.0003649672211483872,0.00019757655534018544,0.0003514038287652827,0.0001548122612376041
EXP05_Levallois preferential,382298,20000,0.0,0.12894522766929975,0.5859859048350123,0.13971183355228403,0.0689129103234222,0.0323702834288451,0.006326601482145034,0.01119861334143016,0.007983786426663595,0.005170949224422207,0.0028274429925069823,0.0025808912368749256,0.0019616463085442306,0.0011832263796140987,0.0010287064404400257,0.0011068021890116495,0.0007322642280607627,0.0007967005746719686,0.0004280357525340792,0.0003706345060694445,0.00037753910814734284
EXP06_Levallois convergent,768016,20000,0.0,0.7746575113820934,0.06813585293985226,0.08835826213796413,0.030159432380101093,0.014575429299834127,0.009370276630646695,0.0033108857106321217,0.004264540312550085,0.002143359762758509,0.0011261038434892054,0.0011890709611399556,0.000681002264955436,0.0004781451328244187,0.000413732445279306,0.00038352406405148514,0.00020694579581667693,0.0001754625653237481,0.00015144972978754691,0.00010026688614833828,0.00011874575475154483
EXP07_Levallois preferential,499182,20000,0.0,0.2700743080552685,0.5484284319770499,0.03697250462355261,0.0923405714483688,0.007975690209203846,0.02191797500731183,0.00612849448416584,0.005840146988253607,0.0036679094357644796,0.001815092335708481,0.0016984863600791877,0.0007259955162663017,0.0007593849187404208,0.00037740348854597804,0.0003673823843746374,0.00020153650384807415,0.00025648777619000996,0.0001443738394319626,0.00019930368571618258,0.00010852096215934028
EXP08_Levallois preferential,490300,20000,0.0,0.08115136452280254,0.49848886546387206,0.284640621499717,0.024756409867681493,0.05189130239946474,0.02057944237079263,0.011149547418520579,0.008992794418626226,0.002379477977358775,0.005984048193498938,0.0022127029415182358,0.001479931095337822,0.001815404956158794,0.0007252526234000701,0.00115657486767762,0.000649496663499398,0.0006696358595045313,0.0006789288830868073,0.0002762987718191748,0.000321899205662773
EXP09_Levallois preferential,290334,20000,0.0,0.01926167056336503,0.7528431005959577,0.07715154388211068,0.06563651132281881,0.03646532148621347,0.014146642220706161,0.0148608707507086,0.005810004681638878,0.004462018465046197,0.0010360597494371094,0.00202541336235142,0.001568260456443394,0.000825389831547373,0.000948045541248532,0.0006005898786975558,0.0006551788742901774,0.00044469008753515027,0.00045955519857852217,0.0003024450847730713,0.0004966879665319039
EXP10_Cylindrical unidirectional,508202,20000,0.0,0.4910155047532697,0.28060232506975114,0.027050881826699225,0.04908305692540638,0.060743373816164306,0.024253477647636162,0.032202666130664116,0.007808117870421958,0.004655326679191839,0.005192934783808349,0.0055311065544762705,0.002930024318945079,0.002573267555840621,0.0018296495691412994,0.0009054549864682895,0.000975180768253474,0.0010507953968943975,0.0006422109545214033,0.0005343878377106482,0.00042025655473546414
EXP11_Cylindrical bidirectional,519538,20000,0.0,0.10618490350226667,0.6355738214762358,0.08531182083739379,0.03547781532127255,0.057783488266398356,0.030555417273266106,0.013074111603988072,0.009929167454502112,0.005206055631491213,0.006829968955368249,0.0019922749730109874,0.0036969196185042737,0.001877839136135843,0.0012147575945647665,0.0014331109175121431,0.0010137164440693794,0.0009877284517799698,0.0008456553699652108,0.0004180262455403133,0.000593400926734342
