ID,Typology,n_scars,power_l0,power_l1,power_l2,power_l3,power_l4,power_l5,power_l6,power_l7,power_l8,power_l9,power_l10,power_l11,power_l12,power_l13,power_l14,power_l15,power_l16,power_l17,power_l18,power_l19,power_l20
EXP22_Cylindrical unidirectional,Unidirectional,16,0.0,0.40448666,0.29343612,0.20051789,0.08219736,0.01599476,0.00282717,0.00048568,4.821e-05,4.18e-06,1.27e-06,3.4e-07,2.3e-07,7e-08,5e-08,1e-08,1e-08,0.0,0.0,0.0,0.0
EXP23_Cylindrical unidirectional,Unidirectional,20,0.0,0.4085746,0.31058481,0.18711599,0.07310479,0.01709748,0.00298948,0.00046886,5.408e-05,6.28e-06,1.92e-06,9.4e-07,4.3e-07,2.2e-07,9e-08,3e-08,1e-08,0.0,0.0,0.0,0.0
EXP24_Cylindrical unidirectional,Unidirectional,10,0.0,0.49222777,0.33592123,0.12875806,0.03364319,0.0074912,0.00160911,0.00030224,4.28e-05,4.06e-06,2.9e-07,3e-08,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXP25_Levallois Nubian,Levallois preferential,23,0.0,0.62056508,0.13152058,0.12436814,0.08512906,0.03504134,0.00224698,0.00086031,0.00017716,5.84e-05,8.78e-06,1.533e-05,4.39e-06,2.19e-06,1.51e-06,7e-08,2.9e-07,1.8e-07,1e-08,1.9e-07,1e-08
EXP26_Levallois recurrent,Levallois recurrent,21,0.0,0.6495511,0.22796242,0.06198049,0.03469768,0.02257152,0.0025635,0.00054261,9.647e-05,2.057e-05,6.1e-06,3.05e-06,2.84e-06,5.3e-07,8.2e-07,8e-08,1.3e-07,5e-08,1e-08,3e-08,1e-08
EXP27_Levallois convergent,Levallois convergent,22,0.0,0.63646575,0.12508366,0.09793026,0.10439031,0.03138198,0.00290278,0.00142014,0.0002216,0.00012507,2.825e-05,3.065e-05,9.41e-06,6.27e-06,2.49e-06,5.8e-07,3.9e-07,1.3e-07,4e-08,1.9e-07,3e-08
EXP28_Levallois convergent,Levallois convergent,19,0.0,0.72638437,0.1839561,0.01925384,0.05120354,0.01535705,0.00344296,0.0002775,9.758e-05,1.771e-05,3.37e-06,2.82e-06,1.82e-06,4.1e-07,6.1e-07,8e-08,1.1e-07,7e-08,1e-08,4e-08,1e-08
EXP29_Levallois preferential,Levallois preferential,33,0.0,0.65918701,0.20087072,0.06872036,0.05979927,0.00852771,0.0025645,0.0002684,3.974e-05,7.22e-06,8.75e-06,1.99e-06,2.45e-06,1e-06,4.1e-07,3.3e-07,3e-08,6e-08,2e-08,0.0,2e-08
EXP30_Levallois Nubian,Levallois preferential,29,0.0,0.70103088,0.15531577,0.07466561,0.04782519,0.01826528,0.00211164,0.00058771,0.0001289,2.945e-05,2.027e-05,9.61e-06,6.01e-06,2.09e-06,1.06e-06,2.9e-07,6e-08,5e-08,2e-08,5e-08,4e-08
EXP31_Levallois laminar,Levallois laminar,31,0.0,0.3600328,0.40689246,0.13245039,0.07642602,0.01868044,0.00466497,0.0003551,0.00035651,4.994e-05,5.189e-05,1.413e-05,1.722e-05,3.23e-06,3.72e-06,4.5e-07,4.2e-07,7e-08,7e-08,6e-08,1e-07
EXP32_Conical unidirectional,Unidirectional,11,0.0,0.5556564,0.21536249,0.12219175,0.08060512,0.02271828,0.00307478,0.0003122,3.535e-05,2.477e-05,9.79e-06,4.99e-06,2.35e-06,1.11e-06,4.1e-07,1.2e-07,3e-08,1e-08,1e-08,2e-08,2e-08
EXP33_Cylindrical bidirectional,Bidirectional,14,0.0,0.1168402,0.67401187,0.05419653,0.13202182,0.01480294,0.00713645,0.00084901,0.00013039,9.14e-06,1.28e-06,2.1e-07,1e-07,2e-08,2e-08,1e-08,0.0,0.0,0.0,0.0,0.0
EXP34_Multiplatform,Multiplatform,11,0.0,0.45808939,0.16650732,0.20721488,0.14933488,0.01589371,0.00254837,0.00031748,5.597e-05,1.399e-05,7.99e-06,6.66e-06,4.1e-06,2.77e-06,1.31e-06,7.4e-07,2.7e-07,1e-07,3e-08,1e-08,1e-08
EXP35_Levallois laminar,Levallois laminar,13,0.0,0.26320905,0.28305539,0.24944779,0.1662115,0.03101451,0.00626114,0.00060668,0.00014495,2.14e-05,7.72e-06,8.77e-06,4.15e-06,3.81e-06,1.46e-06,1.1e-06,3.4e-07,1.7e-07,4e-08,1e-08,1e-08
EXP36_Conical unidirectional,Unidirectional,24,0.0,0.47797815,0.30663731,0.15229473,0.050575,0.01048854,0.00171863,0.00027386,3.052e-05,2.57e-06,4.1e-07,1.4e-07,8e-08,3e-08,2e-08,1e-08,0.0,0.0,0.0,0.0,0.0
EXP37_Conical unidirectional,Unidirectional,13,0.0,0.48440397,0.25002895,0.18448621,0.06562655,0.01251538,0.00242457,0.00045524,5.048e-05,7.5e-06,8.9e-07,1.3e-07,8e-08,2e-08,2e-08,0.0,0.0,0.0,0.0,0.0,0.0
EXP38_Multiplatform,Multiplatform,16,0.0,0.38394675,0.06261566,0.29159316,0.18652056,0.05859226,0.01276875,0.00303819,0.0002734,0.00023638,0.00023686,6.795e-05,7.674e-05,1.231e-05,1.712e-05,8e-07,1.86e-06,3.2e-07,1.4e-07,4.9e-07,3e-07
EXP39_Multiplatform,Multiplatform,16,0.0,0.37073924,0.20820023,0.12060482,0.2568648,0.03780026,0.00391709,0.00146226,0.00031602,4.708e-05,2.274e-05,9.14e-06,1.051e-05,1.46e-06,3.34e-06,1.4e-07,6e-07,1.1e-07,4e-08,9e-08,3e-08
EXP40_Conical unidirectional,Unidirectional,17,0.0,0.4307297,0.30493667,0.20025733,0.04871972,0.01258695,0.00232661,0.00039528,4.288e-05,4.3e-06,3.3e-07,9e-08,9e-08,2e-08,2e-08,1e-08,0.0,0.0,0.0,0.0,0.0
EXP41_Subconical unidirectional,Unidirectional,11,0.0,0.36825939,0.34348614,0.20959282,0.05314991,0.02147783,0.0035421,0.00040378,6.762e-05,1.515e-05,2.66e-06,1.32e-06,6.7e-07,2.9e-07,2.1e-07,3e-08,4e-08,1e-08,0.0,1e-08,0.0
EXP42_Multiplatform,Multiplatform,10,0.0,0.42445792,0.20615206,0.26855925,0.08411172,0.01449531,0.00164442,0.00042966,8.04e-05,2.868e-05,1.499e-05,1.1e-05,5.71e-06,4.83e-06,1.81e-06,1.47e-06,3.9e-07,2.6e-07,6e-08,3e-08,2e-08
EXP43_Biface,Biface,19,0.0,0.21166644,0.40242099,0.18656974,0.12905948,0.06485716,0.00366416,0.00122743,0.00030853,0.00010917,6.122e-05,2.779e-05,1.614e-05,7.02e-06,3.2e-06,1.02e-06,2.7e-07,5e-08,5e-08,6e-08,9e-08
EXP44_Multiplatform,Multiplatform,13,0.0,0.14891224,0.37282978,0.36540981,0.07479316,0.02985822,0.00731192,0.00071223,0.00013864,2.536e-05,4.68e-06,1.97e-06,1.17e-06,4.6e-07,2.3e-07,6e-08,3e-08,1e-08,1e-08,1e-08,1e-08
EXP45_Conical unidirectional,Unidirectional,17,0.0,0.43143084,0.3447315,0.16214565,0.04959023,0.01034525,0.00155071,0.00018497,1.921e-05,1.5e-06,1e-07,2e-08,2e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXP46_Conical unidirectional,Unidirectional,16,0.0,0.49613791,0.33626459,0.12810785,0.03217278,0.00611043,0.00101601,0.00016366,2.369e-05,2.69e-06,2.9e-07,4e-08,4e-08,0.0,1e-08,0.0,0.0,0.0,0.0,0.0,0.0
EXP47_Conical bidirectional,Bidirectional,12,0.0,0.31892252,0.31357279,0.22273234,0.12340582,0.01655954,0.00413098,0.00057491,8.984e-05,9.26e-06,1.72e-06,1.3e-07,9e-08,3e-08,2e-08,0.0,0.0,0.0,0.0,0.0,0.0
EXP48_Multiplatform,Multiplatform,16,0.0,0.48312504,0.25906484,0.17673753,0.05826718,0.01747807,0.00454061,0.0006965,6.772e-05,1.32e-05,2.34e-06,4.58e-06,7.8e-07,1.14e-06,2e-07,1.7e-07,3e-08,3e-08,0.0,2e-08,0.0
EXP49_Discoid,Discoid,10,0.0,0.2617723,0.23448258,0.27020747,0.14632134,0.07403186,0.01052354,0.00194534,0.00051632,9.77e-05,5.403e-05,1.975e-05,1.746e-05,4.74e-06,4.19e-06,6.4e-07,5.3e-07,5e-08,3e-08,7e-08,6e-08
EXP50_Multiplatform,Multiplatform,11,0.0,0.57982566,0.09303748,0.19644789,0.10307616,0.02119631,0.00473192,0.00115259,0.00026793,0.0001646,1.987e-05,5.361e-05,6.75e-06,1.401e-05,2.1e-06,2.22e-06,4.2e-07,2.3e-07,5e-08,1.7e-07,2e-08
EXP51_Conical unidirectional,Unidirectional,11,0.0,0.45495849,0.3273612,0.17282735,0.03598317,0.00765965,0.00103193,0.00014974,2.419e-05,3.31e-06,7.4e-07,1.2e-07,6e-08,1e-08,2e-08,1e-08,0.0,0.0,0.0,0.0,0.0
EXP52_Levallois preferential,Levallois preferential,23,0.0,0.41031018,0.24843721,0.26229881,0.06575587,0.00894402,0.00344368,0.00055067,8.534e-05,9.439e-05,1.605e-05,4.037e-05,6.74e-06,1.201e-05,1.74e-06,2.23e-06,3e-07,2.1e-07,5e-08,9e-08,3e-08
EXP53_Levallois recurrent,Levallois recurrent,12,0.0,0.43135261,0.18468573,0.24567458,0.10122019,0.0321434,0.00413129,0.00057143,0.00012709,2.176e-05,4.503e-05,8.32e-06,1.264e-05,2.69e-06,2.26e-06,6.2e-07,1.4e-07,9e-08,5e-08,2e-08,8e-08
EXP54_Multiplatform,Multiplatform,10,0.0,0.33769996,0.10690809,0.45585437,0.08483815,0.00782812,0.00564679,0.00101962,0.00014946,2.66e-05,1.276e-05,8.02e-06,4.28e-06,2.11e-06,1e-06,3.9e-07,1.4e-07,5e-08,3e-08,3e-08,3e-08
EXP55_Multiplatform,Multiplatform,10,0.0,0.45278454,0.29862157,0.15308631,0.07340493,0.01831729,0.00306023,0.00058674,0.00010579,2.135e-05,5.88e-06,2.9e-06,1.46e-06,5.6e-07,2.9e-07,6e-08,3e-08,2e-08,1e-08,2e-08,1e-08
EXP56_Multiplatform,Multiplatform,14,0.0,0.42931447,0.24609588,0.26032997,0.0534982,0.00767466,0.00264739,0.00036208,4.261e-05,1.633e-05,8.93e-06,4.93e-06,2.57e-06,1.23e-06,5.2e-07,1.7e-07,4e-08,1e-08,0.0,1e-08,1e-08
EXP57_Conical bidirectional,Bidirectional,13,0.0,0.26805928,0.37012807,0.25964268,0.08276853,0.01549169,0.00327463,0.00054114,6.094e-05,2.167e-05,5.73e-06,2.99e-06,1.59e-06,6.4e-07,2.9e-07,7e-08,2e-08,1e-08,1e-08,1e-08,1e-08
EXP58_Conical unidirectional,Unidirectional,12,0.0,0.34875027,0.30304821,0.22920033,0.0963155,0.01945553,0.00255421,0.00059037,5.544e-05,1.457e-05,5.76e-06,5e-06,2.07e-06,1.65e-06,5.6e-07,3.6e-07,9e-08,4e-08,1e-08,1e-08,1e-08
