h,kappa,exp_cumpower_l6,exp_cv_cross_l,sdg_cumpower_l6,sdg_cv_cross_l,im_mean_dist,im_disc_lev,im_biface_discuni,exp_perm_R2,exp_perm_F,exp_perm_p,exp_perm_nsig,exp_perm_npairs,exp_perm_sig_pairs,exp_mantel_r,exp_mantel_p,exp_RV,exp_RV_p,exp_n,sdg_mantel_r,sdg_mantel_p,sdg_RV,sdg_RV_p,sdg_n,sdg_perm_scar_coretype_R2,sdg_perm_scar_coretype_F,sdg_perm_scar_coretype_p,im_corr_vs_ref,im_mantel_vs_ref
0.2,24.999999999999996,96.70841220115824,14,96.5349000664271,13,2.5172399040651756,2.028940077451551,5.2152416851176495,0.2976015494920509,5.61393683018247,0.001,7,10,Levallois-Bidirectional; Levallois-Discoid; Multiplatform-Bidirectional; Multiplatform-Levallois; Unidirectional-Bidirectional; Unidirectional-Discoid; Unidirectional-Multiplatform,-0.05798818319979328,0.789,0.10002971933290902,0.128,58,0.01692032684788408,0.3964,0.09345540610223171,0.2898,51,0.16621148052072682,1.7542350301199559,0.039,0.9607540173717329,0.923974532929757
0.25,16,98.9000336070001,12,98.88238465291984,11,2.49878763731371,2.0203680562639112,5.130116433157098,0.2985200541467333,5.638636914463684,0.001,7,10,Levallois-Bidirectional; Levallois-Discoid; Multiplatform-Bidirectional; Multiplatform-Levallois; Unidirectional-Bidirectional; Unidirectional-Discoid; Unidirectional-Multiplatform,-0.06113636065468211,0.8005,0.10016469722201317,0.1278,58,0.01607094151863784,0.401,0.09270247977932258,0.2974,51,0.16695379211849498,1.7636397077888606,0.0381,0.9840459823105899,0.9655568312284732
0.3,11.11111111111111,99.69206003316759,10,99.70319907283519,10,2.4788510758257156,1.8860305253842358,5.0039997346572855,0.2997946453486421,5.673020099721119,0.001,7,10,Levallois-Bidirectional; Levallois-Discoid; Multiplatform-Bidirectional; Multiplatform-Levallois; Unidirectional-Bidirectional; Unidirectional-Discoid; Unidirectional-Multiplatform,-0.062405671775886906,0.8055,0.10034194365181422,0.1262,58,0.014664697805816322,0.41,0.09164280609357231,0.3054,51,0.16740211245791325,1.7693278011772176,0.0378,0.9964540579385066,0.9789583550777582
0.35,8.163265306122451,99.91999901671863,9,99.93014965425337,9,2.4598692160290483,1.7346256868057108,4.880567499273934,0.30173786937348357,5.725681794616906,0.001,8,10,Levallois-Bidirectional; Levallois-Discoid; Multiplatform-Bidirectional; Multiplatform-Levallois; Unidirectional-Bidirectional; Unidirectional-Discoid; Unidirectional-Levallois; Unidirectional-Multiplatform,-0.06125642786107344,0.8012,0.10094661583002755,0.1202,58,0.011889663509483853,0.4251,0.09065986577433847,0.3126,51,0.16785198589124128,1.7750417603590793,0.0378,1,1
0.4,6.249999999999999,99.97553384742446,7,99.98244392724081,8,2.4469038380793275,1.6826752126943076,4.761649038190087,0.3052921466761096,5.822765532452553,0.001,8,10,Levallois-Bidirectional; Levallois-Discoid; Multiplatform-Bidirectional; Multiplatform-Levallois; Unidirectional-Bidirectional; Unidirectional-Discoid; Unidirectional-Levallois; Unidirectional-Multiplatform,-0.05492438648651775,0.7772,0.10295055581254926,0.1057,58,0.008346715585197185,0.444,0.09008959243711402,0.3156,51,0.1688115173698959,1.787249683915772,0.037,0.9973506039335626,0.9880597014925375
0.45,4.938271604938271,99.98800074573423,7,99.99281789089733,8,2.441881643744096,1.7593883870280418,4.6348917218496455,0.312796873612374,6.031053143122873,0.001,8,10,Levallois-Bidirectional; Levallois-Discoid; Multiplatform-Bidirectional; Multiplatform-Levallois; Unidirectional-Bidirectional; Unidirectional-Discoid; Unidirectional-Levallois; Unidirectional-Multiplatform,-0.03924655096774003,0.7041,0.10803090509955181,0.0781,58,0.004644824894028023,0.4638,0.09032834091374387,0.3068,51,0.1711619050321755,1.8172726053833423,0.0354,0.99048710282996,0.9660578227742408
0.5,4,99.99066420336452,7,99.99400518179857,8,2.4426965553566804,1.9130900059032894,4.490546851916973,0.3287908060239039,6.490492411180941,0.001,8,10,Levallois-Bidirectional; Levallois-Discoid; Multiplatform-Bidirectional; Multiplatform-Levallois; Unidirectional-Bidirectional; Unidirectional-Discoid; Unidirectional-Levallois; Unidirectional-Multiplatform,-0.007829448837376582,0.5389,0.11683463153759875,0.0443,58,0.0011820633727327439,0.4846,0.0913896507223023,0.3042,51,0.17709396869969818,1.8938090927524502,0.0292,0.9798276097043426,0.9480638764220856
