order,cv_pct,cumul_pct,dataset,h
1,47.075350053399696,21.85637194702127,EXP,0.2
2,43.979138668467336,41.11995651940336,EXP,0.2
3,40.09692924929637,63.64667297535367,EXP,0.2
4,38.43159112752839,83.10120914108556,EXP,0.2
5,45.32518963757975,92.60318291023944,EXP,0.2
6,42.87633596435682,96.70841220115824,EXP,0.2
7,42.217806892374064,98.63360877873465,EXP,0.2
8,49.854845152519985,99.5494590844403,EXP,0.2
9,55.580709159831486,99.85943603380301,EXP,0.2
10,56.62592994122958,99.95413957624008,EXP,0.2
11,63.075292528129054,99.98614803388891,EXP,0.2
12,80.891400892924,99.99562066101399,EXP,0.2
13,91.47040329291679,99.99836620338873,EXP,0.2
14,166.43211572618333,99.99934850847413,EXP,0.2
15,184.41428835864954,99.99974316949135,EXP,0.2
16,230.91539527992109,99.99990098305078,EXP,0.2
17,217.66974544926137,99.99996494915251,EXP,0.2
18,196.0897653199159,99.99998566101695,EXP,0.2
19,176.87269413573844,99.9999949661017,EXP,0.2
20,191.39533875908015,100,EXP,0.2
1,46.908188091885684,26.55780012101418,SDG,0.2
2,38.37122132058386,52.16161547665749,SDG,0.2
3,37.238056038042785,70.48696701906721,SDG,0.2
4,43.237894347584074,84.65345451755172,SDG,0.2
5,46.19153422508659,92.577541604686445,SDG,0.2
6,53.149280618774576,96.5349000664271,SDG,0.2
7,56.924387967514,98.60653270655733,SDG,0.2
8,51.042311212703936,99.48226125360411,SDG,0.2
9,44.764580223942914,99.83481341788149,SDG,0.2
10,53.629223741172936,99.94898999990725,SDG,0.2
11,57.111935937865745,99.98601487270186,SDG,0.2
12,64.49326951506731,99.99593632726534,SDG,0.2
13,105.6642271714199,99.998747472725,SDG,0.2
14,160.2365548361166,99.99958078181741,SDG,0.2
15,219.85862769264344,99.99985939999975,SDG,0.2
16,250.7655763567329,99.99995205454537,SDG,0.2
17,252.54567489685164,99.99998099999998,SDG,0.2
18,239.4712425435842,99.99999079999998,SDG,0.2
19,243.97108442799134,99.99999605454545,SDG,0.2
20,279.79929875363234,100,SDG,0.2
1,44.1206049137646,27.632831689789512,EXP,0.25
2,42.87617205627193,50.15171214450492,EXP,0.25
3,41.73862000360606,73.28693799082677,EXP,0.25
4,42.767000676979066,90.09691420875382,EXP,0.25
5,51.29511645655834,96.69363500742234,EXP,0.25
6,48.66410275106085,98.9000336070001,EXP,0.25
7,50.19418050569166,99.65871174477934,EXP,0.25
