axis,inertia_pct,share_M,share_SP,dominant_block
1,21.87756675965607,0.7636301284137078,0.23636987158629222,M-SPHARM
2,21.22746992370664,0.19356777239309605,0.8064322276069045,SP-SPHARM
3,15.062142650071191,0.5441141804924053,0.4558858195075936,mixed
4,11.809008313291656,0.12782502401654494,0.8721749759834543,SP-SPHARM
