perturbation,level,R,R2_med,R2_lo,R2_hi,pseudo_F_med,pseudo_F_lo,pseudo_F_hi,n_sig_05_med,n_sig_05_lo,n_sig_05_hi,n_sig_01_med,n_sig_01_lo,n_sig_01_hi,med_neglog10_p_med,med_neglog10_p_lo,med_neglog10_p_hi,ilr_shift_med,ilr_shift_lo,ilr_shift_hi,mantel_vs_base_med,mantel_vs_base_lo,mantel_vs_base_hi,decoup_mantel_med,decoup_mantel_lo,decoup_mantel_hi,decoup_rv_med,decoup_rv_lo,decoup_rv_hi,fabric_R2_med,fabric_R2_lo,fabric_R2_hi,fabric_F_med,fabric_F_lo,fabric_F_hi,fabric_p_med,fabric_p_lo,fabric_p_hi,fabric_n_sig_05_med,fabric_n_sig_05_lo,fabric_n_sig_05_hi,fabric_n_sig_01_med,fabric_n_sig_01_lo,fabric_n_sig_01_hi,fabric_med_neglog10_med,fabric_med_neglog10_lo,fabric_med_neglog10_hi,spi_KW_chisq_med,spi_KW_chisq_lo,spi_KW_chisq_hi,spi_p_med,spi_p_lo,spi_p_hi,spi_n_sig_05_med,spi_n_sig_05_lo,spi_n_sig_05_hi,spi_n_sig_01_med,spi_n_sig_01_lo,spi_n_sig_01_hi,spi_med_neglog10_med,spi_med_neglog10_lo,spi_med_neglog10_hi
angle,5,100,0.30930407946622085,0.28264470676191333,0.328982140298991,5.933550756806316,5.220640795683066,6.496125150594235,8,6,8,0,0,0,2.610924374808178,2.3979400086720375,3,0.22123943281501102,0.19294956119779116,0.25507498875509893,0.9617084033670019,0.9462365119204454,0.9715443330518285,-0.05276044954127031,-0.0834702655072448,-0.018128336542980877,0.1007784572685565,0.08498524102288184,0.11721296727796914,0.5427722302352358,0.52197098521847,0.5666212710573278,15.728993025749364,14.467982817929602,17.32409493948139,0.001,0.001,0.001,5,5,7,0,0,0,2.2440840204505514,2.0228787452803374,2.675953876246605,27.09323077565334,25.866996743758886,28.390938465391997,1.903493371280172e-5,1.0392725517248743e-5,3.3659929863810805e-5,4,3,4,3,2,3,1.5628093749820628,1.4052595034530344,1.7222860774229534
angle,10,100,0.3093917168487838,0.25987559811367333,0.3502531460443213,5.93598573346783,4.652446923271185,7.1426833450713705,7,5.475,9,0,0,0,2.6989700043360187,2.2247544330153968,3,0.4700759339500731,0.39667854683424175,0.5452355631644203,0.8553638953755107,0.8101913062452837,0.8973552171669366,-0.03509082069787964,-0.09887771753877253,0.029223490316812983,0.09660541252248223,0.07025855157252058,0.12628060568385274,0.5398799986136009,0.49987046770060595,0.5711645334519855,15.546983740405159,13.243645880484504,17.64873721808971,0.001,0.001,0.001,5,4,7,0,0,0,2.183324508278978,1.8388903526330402,2.6989700043360187,26.79160056775487,24.67971074768307,28.833420931785938,2.1905477482476437e-5,8.45080505099544e-6,5.841921207792022e-5,4,3,4,3,2,3,1.5196608204395792,1.2169097587741762,1.807780322144704
angle,15,100,0.32136060230141605,0.2626511363705301,0.3674162336042582,6.274361661678282,4.7204662834255835,7.696087732481304,7,5,9,0,0,0,2.6989700043360187,2.155014703775259,3,0.7142036829404996,0.6017779063924722,0.8154689405573343,0.7271813791299995,0.6461951816965248,0.794825488776907,-0.0016849739488541435,-0.09833295841999207,0.08811271975597215,0.09508662813017163,0.06318235904191859,0.131100645393217,0.5275110495480708,0.4613003390128656,0.5845262500946915,14.79298875915487,11.346300606383611,18.641492478265477,0.001,0.001,0.001,5,4,6.5249999999999915,0,0,0,2.079013217312122,1.5000018241541262,2.6317094518956794,26.600636636887373,23.112896176003993,29.44661356140937,2.3938347773211047e-5,6.377288279079692e-6,1.2054604388066122e-4,4,3,4,3,2,3,1.4381944025589584,1.0662204356700262,1.8345268125307281
angle,20,100,0.3134442011256644,0.24774999316856905,0.3813781196657466,6.049233111405618,4.364015293008414,8.170102164778138,6,5,8,0,0,0,2.610924374808178,1.9870802690490772,3,0.913656685991796,0.8028477215168004,1.0365710391470258,0.6054418306612313,0.5121737549872645,0.6950993873756239,-7.103750548082937e-4,-0.11456667598556665,0.0932013320615928,0.0842768803376179,0.05216971391797534,0.1326746286114897,0.5013515242673163,0.43532290721461053,0.5890965403168664,13.321829188541882,10.214738083730255,19.003740550808864,0.001,0.001,0.001,5,4,6.5249999999999915,0,0,0,1.8822945126149966,1.3537646837410826,2.6989700043360187,26.71315124822577,22.811688027051822,29.953838868247484,2.2717669266234608e-5,5.030770122038244e-6,1.380844569703588e-4,3,3,4,3,1.475,3,1.435139677817076,0.8910121043785264,1.8615961724504382
