ID,Typology,n_scars,power_l0,power_l1,power_l2,power_l3,power_l4,power_l5,power_l6,power_l7,power_l8,power_l9,power_l10,power_l11,power_l12,power_l13,power_l14,power_l15,power_l16,power_l17,power_l18,power_l19,power_l20
EXP01_Levallois preferential,Levallois preferential,35,0.0,0.32172657,0.37292863,0.20689528,0.04878043,0.04181142,0.005718,0.00181433,0.00027027,4.167e-05,6.98e-06,4.22e-06,1.14e-06,6.3e-07,2.7e-07,6e-08,5e-08,1e-08,1e-08,2e-08,0.0
EXP02_Cylindrical bidirectional,Bidirectional,19,0.0,0.18466422,0.35952677,0.14530162,0.25922807,0.02939825,0.01779292,0.0028253,0.00113882,8.713e-05,2.95e-05,4.67e-06,1.53e-06,7.3e-07,3.1e-07,1.1e-07,3e-08,1e-08,1e-08,1e-08,1e-08
EXP03_Conical unidirectional,Unidirectional,10,0.0,0.42537754,0.32904306,0.15572502,0.05821174,0.02156807,0.00753703,0.00206431,0.00040809,5.822e-05,6.28e-06,5.7e-07,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXP04_Levallois preferential,Levallois preferential,29,0.0,0.40041744,0.24900577,0.23949825,0.07711502,0.02545433,0.00526585,0.00268745,0.00047036,6.671e-05,7.62e-06,5.78e-06,1.67e-06,2.27e-06,4.8e-07,7.1e-07,1.1e-07,1.2e-07,3e-08,1e-08,1e-08
EXP05_Levallois preferential,Levallois preferential,24,0.0,0.32875883,0.25459749,0.1610716,0.18444301,0.06247602,0.00663957,0.00151828,0.00035632,9.274e-05,3.198e-05,6.85e-06,4.52e-06,1.08e-06,1.19e-06,2e-07,1.8e-07,4e-08,4e-08,2e-08,3e-08
EXP06_Levallois convergent,Levallois convergent,22,0.0,0.45856296,0.11672239,0.26631147,0.13036236,0.02022562,0.00534304,0.00216593,0.00024402,3.209e-05,1.55e-05,7.6e-06,3.9e-06,1.94e-06,7.8e-07,2.9e-07,7e-08,1e-08,1e-08,1e-08,2e-08
EXP07_Levallois preferential,Levallois preferential,27,0.0,0.37038436,0.37526212,0.17019975,0.05081328,0.02053266,0.00913253,0.0028454,0.0006896,0.0001066,1.79e-05,9.52e-06,3.34e-06,1.87e-06,6.6e-07,2.7e-07,8e-08,3e-08,1e-08,3e-08,1e-08
EXP08_Levallois preferential,Levallois preferential,28,0.0,0.44185771,0.27193792,0.23779845,0.03042028,0.01142255,0.00397848,0.00221348,0.00030438,4.225e-05,1.404e-05,6.1e-06,2.03e-06,1.44e-06,5.3e-07,2e-07,1e-07,2e-08,1e-08,2e-08,0.0
EXP09_Levallois preferential,Levallois preferential,27,0.0,0.32413838,0.27825704,0.20537694,0.14527728,0.03566982,0.00845401,0.00197023,0.00065907,0.00015329,2.209e-05,1.278e-05,4.39e-06,2.88e-06,1.18e-06,2.4e-07,2.3e-07,3e-08,3e-08,7e-08,1e-08
EXP10_Cylindrical unidirectional,Unidirectional,33,0.0,0.36589014,0.28990385,0.20557612,0.09911637,0.02991827,0.00739458,0.00181741,0.00033238,4.447e-05,5.68e-06,5.6e-07,1e-07,3e-08,2e-08,0.0,0.0,0.0,0.0,0.0,0.0
EXP11_Cylindrical bidirectional,Bidirectional,20,0.0,0.03693378,0.45928726,0.28610602,0.16399764,0.03965224,0.01191243,0.0015053,0.00055115,4.504e-05,7.98e-06,8.6e-07,2e-07,4e-08,4e-08,0.0,1e-08,0.0,0.0,0.0,0.0
EXP12_Discoid,Discoid,17,0.0,0.08207729,0.29544059,0.22552833,0.28692268,0.08780111,0.01602746,0.0045214,0.001486,9.164e-05,6.957e-05,1.289e-05,1.523e-05,1.49e-06,3.41e-06,2.4e-07,4.3e-07,5e-08,7e-08,2e-08,9e-08
EXP13_Conical unidirectional,Unidirectional,16,0.0,0.27196567,0.3259864,0.16740297,0.15923874,0.05956772,0.01248888,0.00251285,0.00066501,0.00014952,1.486e-05,3.84e-06,1.76e-06,9.2e-07,4.9e-07,2.2e-07,9e-08,3e-08,1e-08,0.0,0.0
EXP14_Levallois convergent,Levallois convergent,19,0.0,0.59126724,0.1183152,0.14359417,0.09145597,0.04333026,0.00902236,0.00233827,0.00047422,0.00013764,4.116e-05,1.158e-05,5.88e-06,3.2e-06,1.72e-06,7e-07,2.7e-07,9e-08,2e-08,2e-08,2e-08
EXP15_Levallois convergent,Levallois convergent,17,0.0,0.50070767,0.13370419,0.22831339,0.10928595,0.02099213,0.00534138,0.00129524,0.00023452,6.26e-05,3.426e-05,1.621e-05,7.18e-06,3.25e-06,1.28e-06,4.6e-07,1.2e-07,4e-08,4e-08,5e-08,5e-08
EXP16_Discoid,Discoid,17,0.0,0.07579161,0.36462189,0.18303706,0.3318298,0.02474926,0.01537797,0.00340093,0.00095688,0.00019979,2.399e-05,5.32e-06,3.54e-06,6.1e-07,1.04e-06,8e-08,1.7e-07,1e-08,2e-08,1e-08,2e-08
EXP17_Discoid,Discoid,18,0.0,0.11157722,0.02636516,0.59928531,0.18949424,0.04607634,0.02365755,0.00252023,0.00066622,0.00019501,5.16e-05,5.646e-05,2.432e-05,1.636e-05,8.61e-06,2.82e-06,2.03e-06,1.9e-07,2.4e-07,9e-08,3e-08
EXP18_Discoid,Discoid,16,0.0,0.45718877,0.17638859,0.23508985,0.0890701,0.03559893,0.0046432,0.00107025,0.00065323,0.00021929,4.685e-05,1.415e-05,8.74e-06,4.18e-06,2.25e-06,9.6e-07,4e-07,1.4e-07,5e-08,4e-08,4e-08
EXP19_Levallois preferential,Levallois preferential,27,0.0,0.24924139,0.25165954,0.36099472,0.07005097,0.05695303,0.00891121,0.00151321,0.00050899,9.033e-05,3.792e-05,2.171e-05,9.9e-06,4.46e-06,1.76e-06,5.2e-07,1.1e-07,3e-08,4e-08,7e-08,6e-08
EXP20_Cylindrical bidirectional,Bidirectional,11,0.0,0.20524723,0.17390298,0.31618401,0.20572727,0.08124149,0.0125107,0.00388052,0.00097415,0.00023024,6.5e-05,1.779e-05,1.01e-05,5.13e-06,2.15e-06,8.8e-07,2.3e-07,6e-08,1e-08,2e-08,3e-08
EXP21_Levallois preferential,Levallois preferential,37,0.0,0.42366512,0.29566857,0.05629328,0.16243885,0.04581865,0.01233817,0.0029488,0.0006005,0.00014971,4.128e-05,1.912e-05,9.94e-06,4.43e-06,2.29e-06,6.6e-07,3.4e-07,7e-08,9e-08,6e-08,7e-08
EXP22_Cylindrical unidirectional,Unidirectional,24,0.0,0.36602602,0.22928857,0.2418409,0.1266198,0.02888226,0.00540063,0.00158992,0.00029358,4.387e-05,1.046e-05,2.37e-06,9.3e-07,3.4e-07,2.3e-07,4e-08,3e-08,2e-08,0.0,2e-08,0.0
EXP23_Cylindrical unidirectional,Unidirectional,27,0.0,0.34034655,0.27923609,0.22410635,0.11340363,0.03299193,0.00770186,0.00185715,0.00031024,3.782e-05,6.58e-06,1.07e-06,3.7e-07,1.9e-07,1.1e-07,4e-08,2e-08,1e-08,0.0,0.0,0.0
EXP24_Cylindrical unidirectional,Unidirectional,12,0.0,0.41426927,0.33614387,0.16554737,0.05883927,0.01811514,0.00534684,0.00139722,0.00028925,4.557e-05,5.57e-06,5.7e-07,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXP25_Levallois Nubian,Levallois preferential,24,0.0,0.55841891,0.12435989,0.13522936,0.11337992,0.05936973,0.00564121,0.00260925,0.00079967,0.00015733,1.91e-05,8.35e-06,4.24e-06,1e-06,1.37e-06,1.3e-07,2.4e-07,1.7e-07,1e-08,1.2e-07,1e-08
EXP26_Levallois recurrent,Levallois recurrent,21,0.0,0.5741007,0.2325416,0.07683251,0.05630258,0.05002333,0.0074706,0.00212317,0.00048536,0.0001001,1.253e-05,3.76e-06,2.42e-06,5e-07,5.8e-07,1.1e-07,8e-08,4e-08,1e-08,2e-08,1e-08
EXP27_Levallois convergent,Levallois convergent,22,0.0,0.52548562,0.12129148,0.11498016,0.15883089,0.06506762,0.00825786,0.00482064,0.00090436,0.00024904,5.677e-05,3.135e-05,1.294e-05,6.13e-06,3.42e-06,6.5e-07,5.8e-07,1.8e-07,6e-08,2.1e-07,5e-08
EXP28_Levallois convergent,Levallois convergent,21,0.0,0.64961037,0.20310496,0.029252,0.07541262,0.03228615,0.00846488,0.00123901,0.00054545,7.519e-05,5.53e-06,1.91e-06,1.22e-06,1.7e-07,3.3e-07,8e-08,5e-08,5e-08,0.0,2e-08,1e-08
EXP29_Levallois preferential,Levallois preferential,35,0.0,0.51771958,0.24922631,0.0753256,0.12931836,0.01960333,0.00706416,0.00138125,0.00028242,4.899e-05,1.731e-05,5.56e-06,3.16e-06,2.52e-06,5.7e-07,6.7e-07,6e-08,9e-08,3e-08,0.0,3e-08
EXP30_Levallois Nubian,Levallois preferential,29,0.0,0.62341012,0.15656133,0.09251562,0.07752277,0.04031014,0.0063227,0.00251822,0.00065687,0.00010415,4.173e-05,1.889e-05,1.079e-05,3.75e-06,1.92e-06,6.6e-07,1.2e-07,7e-08,3e-08,4e-08,6e-08
EXP31_Levallois laminar,Levallois laminar,32,0.0,0.23941331,0.44248721,0.15795267,0.10761624,0.0364331,0.01318337,0.00141538,0.00124448,0.00012866,7.433e-05,1.959e-05,2.172e-05,4.01e-06,4.3e-06,6.7e-07,5.1e-07,1e-07,1.4e-07,7e-08,1.4e-07
EXP32_Conical unidirectional,Unidirectional,16,0.0,0.26396836,0.44352436,0.08040524,0.16398731,0.03505296,0.01111498,0.00160768,0.00022455,8.11e-05,2.172e-05,6.49e-06,3.06e-06,1.37e-06,5.4e-07,1.7e-07,5e-08,1e-08,1e-08,2e-08,2e-08
EXP33_Cylindrical bidirectional,Bidirectional,15,0.0,0.08789128,0.6037986,0.07686388,0.17326189,0.03424743,0.02023786,0.0028555,0.0007409,8.632e-05,1.434e-05,1.76e-06,2.2e-07,2e-08,1e-08,0.0,0.0,0.0,0.0,0.0,0.0
EXP34_Multiplatform,Multiplatform,12,0.0,0.37447771,0.14750556,0.23274298,0.20612081,0.03179975,0.00573026,0.00125654,0.00029758,2.979e-05,1.223e-05,1.023e-05,7.54e-06,4.55e-06,2.44e-06,1.24e-06,5.2e-07,1.8e-07,5e-08,1e-08,1e-08
EXP35_Levallois laminar,Levallois laminar,16,0.0,0.34947399,0.13750765,0.25984561,0.19466753,0.04469397,0.01129099,0.00172479,0.00060212,0.00011379,3.846e-05,1.928e-05,1.069e-05,6.05e-06,2.86e-06,1.35e-06,5e-07,1.9e-07,7e-08,5e-08,4e-08
EXP36_Conical unidirectional,Unidirectional,25,0.0,0.40611073,0.30280807,0.18366767,0.07875425,0.02226946,0.00506715,0.00111071,0.00018416,2.392e-05,3.33e-06,4.3e-07,7e-08,2e-08,1e-08,0.0,0.0,0.0,0.0,0.0,0.0
EXP37_Conical unidirectional,Unidirectional,19,0.0,0.43143792,0.22497926,0.21201825,0.10026163,0.02448724,0.00546121,0.0010609,0.0002174,6.532e-05,1e-05,7.6e-07,1e-07,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXP38_Multiplatform,Multiplatform,17,0.0,0.17049861,0.05512838,0.34173039,0.27267571,0.11616818,0.0314031,0.01036409,0.00092109,0.00039248,0.00046088,6.824e-05,0.00013777,1.145e-05,3.244e-05,1.67e-06,3.86e-06,6.1e-07,1.8e-07,4.4e-07,4.3e-07
EXP39_Multiplatform,Multiplatform,25,0.0,0.48859188,0.16258729,0.13184417,0.17935435,0.028521,0.00669211,0.00163907,0.00064728,7.945e-05,2.245e-05,1.142e-05,5.82e-06,1.46e-06,1.59e-06,1.9e-07,2.8e-07,8e-08,2e-08,6e-08,2e-08
EXP40_Conical unidirectional,Unidirectional,24,0.0,0.33430711,0.28054638,0.27700119,0.07988423,0.02206246,0.00469732,0.00125891,0.00019734,3.274e-05,7.03e-06,2.84e-06,1.46e-06,6.1e-07,2.4e-07,8e-08,2e-08,1e-08,1e-08,1e-08,1e-08
EXP41_Subconical unidirectional,Unidirectional,11,0.0,0.30107196,0.32275593,0.24129499,0.07942786,0.04332669,0.00995187,0.00163713,0.00042472,9.596e-05,1.071e-05,1.42e-06,4.1e-07,1.6e-07,1.2e-07,2e-08,2e-08,1e-08,0.0,1e-08,0.0
EXP42_Multiplatform,Multiplatform,16,0.0,0.37385632,0.13963452,0.31627472,0.12922656,0.02873017,0.00945648,0.00222837,0.0004199,0.00012944,2.015e-05,9.56e-06,4.22e-06,5.07e-06,1.8e-06,1.76e-06,4.8e-07,3.7e-07,8e-08,4e-08,2e-08
EXP43_Biface,Biface,19,0.0,0.15521957,0.34199022,0.19422385,0.17464428,0.11865251,0.0092102,0.00424164,0.00127239,0.0003354,0.00012185,4.673e-05,2.296e-05,1.117e-05,4.67e-06,1.69e-06,4.5e-07,1.2e-07,9e-08,1e-07,1.3e-07
EXP44_Multiplatform,Multiplatform,14,0.0,0.14227837,0.30523053,0.38000202,0.10475918,0.04783892,0.01664926,0.00248271,0.00063077,0.00011555,8.53e-06,2.7e-06,8.8e-07,3.3e-07,1.4e-07,5e-08,3e-08,1e-08,1e-08,1e-08,1e-08
EXP45_Conical unidirectional,Unidirectional,19,0.0,0.3583187,0.33410321,0.19670552,0.08046259,0.02392747,0.00536933,0.00095211,0.00014086,1.798e-05,1.99e-06,2e-07,2e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXP46_Conical unidirectional,Unidirectional,19,0.0,0.41420253,0.33714187,0.16762006,0.05910436,0.01664549,0.00412232,0.00093659,0.0001901,3.204e-05,4.18e-06,4.1e-07,4e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXP47_Conical bidirectional,Bidirectional,13,0.0,0.25766725,0.26953117,0.24006505,0.18473163,0.03226331,0.01238566,0.00261516,0.00064433,7.454e-05,2.023e-05,1.48e-06,1.5e-07,3e-08,1e-08,0.0,0.0,0.0,0.0,0.0,0.0
EXP48_Multiplatform,Multiplatform,17,0.0,0.38487535,0.23588016,0.23427649,0.09122953,0.03602917,0.01426216,0.00293275,0.00042321,6.581e-05,1.259e-05,7.22e-06,2.61e-06,1.87e-06,6.3e-07,3.1e-07,1e-07,3e-08,1e-08,2e-08,0.0
EXP49_Discoid,Discoid,12,0.0,0.26057388,0.19624958,0.27700511,0.13728425,0.09834785,0.02303866,0.00541654,0.0016605,0.00032027,6.319e-05,1.66e-05,1.553e-05,3.64e-06,3.29e-06,5.3e-07,3.9e-07,5e-08,5e-08,4e-08,7e-08
EXP50_Multiplatform,Multiplatform,13,0.0,0.34974901,0.09628568,0.32991918,0.17565962,0.03290357,0.01081312,0.00297412,0.00124395,0.00030489,4.018e-05,6.681e-05,1.03e-05,2.009e-05,3.59e-06,4.14e-06,8.3e-07,5.8e-07,1.1e-07,1.8e-07,2e-08
EXP51_Conical unidirectional,Unidirectional,15,0.0,0.36799506,0.30914531,0.23113577,0.06801488,0.01812033,0.00447138,0.00089334,0.00019162,2.677e-05,4.81e-06,6.7e-07,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXP52_Levallois preferential,Levallois preferential,26,0.0,0.42951609,0.20232545,0.25611199,0.08138371,0.01870009,0.00901037,0.0024482,0.00028353,0.00010859,2.264e-05,5.287e-05,1.15e-05,1.685e-05,3.17e-06,3.84e-06,5.3e-07,4.4e-07,6e-08,6e-08,4e-08
EXP53_Levallois recurrent,Levallois recurrent,14,0.0,0.36125543,0.16125809,0.29235007,0.13738175,0.03754023,0.00761542,0.00207373,0.00035668,6.956e-05,6.111e-05,1.412e-05,1.566e-05,3.9e-06,2.89e-06,8.7e-07,2.3e-07,1.1e-07,5e-08,2e-08,8e-08
