ID,Typology,n_scars,power_l0,power_l1,power_l2,power_l3,power_l4,power_l5,power_l6,power_l7,power_l8,power_l9,power_l10,power_l11,power_l12,power_l13,power_l14,power_l15,power_l16,power_l17,power_l18,power_l19,power_l20
EXP01_Levallois preferential,Levallois preferential,35,0.0,0.21460458,0.30583358,0.23167804,0.08058976,0.11612743,0.02784607,0.01584073,0.00515632,0.00163145,0.00045632,0.0001694,5.598e-05,7.37e-06,2.14e-06,5.8e-07,1.2e-07,7e-08,2e-08,3e-08,1e-08
EXP02_Cylindrical bidirectional,Bidirectional,19,0.0,0.09919994,0.23878695,0.13154235,0.35235284,0.06473665,0.06875512,0.02116825,0.01866793,0.0027855,0.00157422,0.00030606,0.00010218,1.53e-05,5.33e-06,9.7e-07,2.3e-07,8e-08,4e-08,3e-08,2e-08
EXP03_Conical unidirectional,Unidirectional,10,0.0,0.29953648,0.28461587,0.18192805,0.10082928,0.06143167,0.03885636,0.02074094,0.00851009,0.00267796,0.00067846,0.0001521,3.342e-05,7.38e-06,1.56e-06,3.1e-07,6e-08,1e-08,0.0,0.0,0.0
EXP04_Levallois preferential,Levallois preferential,29,0.0,0.26451621,0.19488205,0.27287855,0.13258458,0.07118972,0.02572956,0.02554372,0.00892021,0.00274897,0.00061188,0.00027237,7.985e-05,2.498e-05,9.16e-06,4.37e-06,2.3e-06,1.04e-06,3.7e-07,8e-08,2e-08
EXP05_Levallois preferential,Levallois preferential,24,0.0,0.1904849,0.18140017,0.15579601,0.27254642,0.15187896,0.02648387,0.01161073,0.00531953,0.00315655,0.00093141,0.00027152,8.132e-05,3.218e-05,4.5e-06,1.49e-06,3e-07,5e-08,5e-08,2e-08,2e-08
EXP06_Levallois convergent,Levallois convergent,22,0.0,0.29649072,0.09279924,0.29069788,0.21508918,0.05456231,0.02436071,0.01939996,0.00468076,0.00108523,0.00053299,0.0002146,6.249e-05,1.624e-05,5.01e-06,1.75e-06,6.4e-07,1.7e-07,5e-08,4e-08,3e-08
EXP07_Levallois preferential,Levallois preferential,27,0.0,0.25280049,0.31446059,0.19681537,0.08845666,0.05768186,0.04385349,0.0270948,0.01330241,0.00379603,0.00105895,0.00054774,0.00010409,1.853e-05,5.59e-06,2.2e-06,7.4e-07,2.5e-07,1.1e-07,7e-08,5e-08
EXP08_Levallois preferential,Levallois preferential,28,0.0,0.32164312,0.24609658,0.29138312,0.05631229,0.03392023,0.02012599,0.02075857,0.00723853,0.00138866,0.00083297,0.00022211,5.667e-05,1.624e-05,3.63e-06,6.3e-07,3.5e-07,1.7e-07,6e-08,7e-08,1e-08
EXP09_Levallois preferential,Levallois preferential,27,0.0,0.19750166,0.21159759,0.2081982,0.22326623,0.09022909,0.03597321,0.01686732,0.01163624,0.00339201,0.0010454,0.00016475,8.94e-05,3.012e-05,5.44e-06,1.69e-06,1.06e-06,3.2e-07,9e-08,1.5e-07,3e-08
EXP10_Cylindrical unidirectional,Unidirectional,33,0.0,0.23949045,0.23326777,0.2246752,0.1624204,0.07979414,0.03469602,0.01671537,0.00652024,0.00180762,0.00045477,0.00012338,2.856e-05,5.02e-06,8.7e-07,1.5e-07,3e-08,1e-08,0.0,0.0,0.0
