ID,Typology,n_scars,power_l0,power_l1,power_l2,power_l3,power_l4,power_l5,power_l6,power_l7,power_l8,power_l9,power_l10,power_l11,power_l12,power_l13,power_l14,power_l15,power_l16,power_l17,power_l18,power_l19,power_l20
EXP50_Multiplatform,Multiplatform,13,0.0,0.72783059,0.1151207,0.13325971,0.02249518,0.00096486,0.00012072,0.00012799,5.27e-06,5.192e-05,1.88e-06,1.661e-05,5.9e-07,3.38e-06,1.4e-07,2.9e-07,2e-08,5e-08,0.0,9e-08,0.0
EXP51_Conical unidirectional,Unidirectional,15,0.0,0.6414508,0.27149979,0.07901569,0.00740605,0.00055983,3.694e-05,1.828e-05,1.88e-06,6.84e-06,1.1e-06,1.81e-06,5.2e-07,2.3e-07,1.6e-07,0.0,3e-08,3e-08,0.0,2e-08,0.0
EXP52_Levallois preferential,Levallois preferential,26,0.0,0.731988,0.17514687,0.08402988,0.00826531,0.00046187,8.336e-05,9.04e-06,6.89e-06,2.39e-06,2.96e-06,1.43e-06,8.7e-07,6.8e-07,1.5e-07,2.2e-07,1e-08,4e-08,0.0,0.0,1e-08
EXP53_Levallois recurrent,Levallois recurrent,14,0.0,0.70864787,0.16211968,0.11163751,0.01619244,0.00127141,9.313e-05,1.414e-05,1.181e-05,3.6e-06,4.99e-06,1.18e-06,1.51e-06,3.2e-07,2.7e-07,8e-08,2e-08,3e-08,1e-08,1e-08,1e-08
EXP54_Multiplatform,Multiplatform,10,0.0,0.64552558,0.11105854,0.22535129,0.01713727,0.00065201,0.00019001,4.717e-05,1.158e-05,1.245e-05,5.41e-06,4.25e-06,2.31e-06,1.06e-06,7e-07,1.7e-07,1.2e-07,3e-08,1e-08,2e-08,1e-08
EXP55_Multiplatform,Multiplatform,11,0.0,0.65910707,0.2633526,0.0637331,0.01256177,0.00110861,7.022e-05,4.25e-05,3.75e-06,1.324e-05,1.7e-06,3.81e-06,7e-07,5.9e-07,2e-07,1e-08,3e-08,3e-08,0.0,4e-08,0.0
EXP56_Multiplatform,Multiplatform,15,0.0,0.58465349,0.29431789,0.1109468,0.00951762,0.00046031,5.379e-05,2.79e-05,4.81e-06,1.033e-05,2.28e-06,2.99e-06,9.1e-07,5.1e-07,2.5e-07,3e-08,4e-08,2e-08,0.0,3e-08,0.0
EXP57_Conical bidirectional,Bidirectional,14,0.0,0.47600941,0.36646026,0.13635724,0.01969538,0.00136412,9.528e-05,5.6e-06,6.49e-06,1.14e-06,2.95e-06,4.1e-07,1.16e-06,1.4e-07,3.2e-07,3e-08,5e-08,1e-08,0.0,0.0,1e-08
EXP58_Conical unidirectional,Unidirectional,16,0.0,0.69841329,0.16412197,0.11192836,0.02397944,0.00144615,5.301e-05,3.526e-05,1.72e-06,1.407e-05,8.2e-07,4.43e-06,3e-07,9.2e-07,7e-08,1.1e-07,1e-08,4e-08,0.0,3e-08,0.0
EXP59_Subconical unidirectional,Unidirectional,26,0.0,0.55545677,0.30206275,0.12394229,0.01704141,0.00135872,9.524e-05,2.539e-05,3.91e-06,6.41e-06,2.59e-06,1.92e-06,1.49e-06,3.7e-07,5.5e-07,4e-08,1.1e-07,2e-08,1e-08,1e-08,0.0
IM_Levallois_convergent,Levallois_convergent,24,0.0,0.46995938,0.50451928,0.01580807,0.0075977,0.00190571,0.00013497,3.629e-05,1.213e-05,3.05e-06,1.125e-05,1.47e-06,6.86e-06,5.2e-07,2.6e-06,1.3e-07,5.3e-07,2e-08,3e-08,1e-08,1e-08
IM_Levallois_laminar,Levallois_laminar,25,0.0,0.41740446,0.53809673,0.03223015,0.00954165,0.00250972,0.00016072,2.663e-05,9.6e-06,8.2e-07,9.53e-06,6.5e-07,6.05e-06,3.2e-07,2.34e-06,1.1e-07,4.8e-07,2e-08,2e-08,0.0,1e-08
IM_Levallois_preferential,Levallois_preferential,24,0.0,0.45115539,0.53332647,0.00694451,0.00633589,0.00201011,0.00015933,3.029e-05,1.111e-05,1.18e-06,1.256e-05,8.2e-07,8.01e-06,3.8e-07,3.11e-06,1.2e-07,6.4e-07,2e-08,3e-08,0.0,1e-08
IM_Multiplatform,multifacial,6,0.0,0.00432342,0.01005234,0.00300746,0.9766222,0.00013316,0.00475789,6.64e-06,0.00073262,1.83e-06,0.00025055,6.1e-07,8.548e-05,1.4e-07,2.208e-05,1e-08,3.25e-06,0.0,1.3e-07,0.0,1.9e-07
IM_biface,biface,24,0.0,0.01846823,0.95792366,0.01847189,0.00477783,0.00025034,8.978e-05,6.7e-07,4.26e-06,1.3e-07,7e-06,4e-08,4.26e-06,1e-08,1.59e-06,0.0,3e-07,0.0,1e-08,0.0,1e-08
IM_conical_unipolar_cortical,conical_unipolar_cortical,12,0.0,0.63118094,0.29239652,0.06734771,0.00848894,0.00053901,2.187e-05,1.517e-05,2.06e-06,4.95e-06,8.9e-07,1.28e-06,3.5e-07,1.5e-07,1e-07,0.0,1e-08,2e-08,0.0,2e-08,0.0
IM_conical_unipolar_scarred,conical_unipolar_scarred,13,0.0,0.64688281,0.27398169,0.06920944,0.00931545,0.00056144,2.38e-05,1.56e-05,1.85e-06,5.07e-06,8.7e-07,1.31e-06,3.6e-07,1.6e-07,1e-07,0.0,1e-08,2e-08,0.0,2e-08,0.0
IM_cylindrical_bipolar,cylindrical_bipolar,12,0.0,5.6e-07,0.95334692,5e-07,0.04627772,3e-08,0.00036472,0.0,6.8e-06,0.0,1.81e-06,0.0,7.2e-07,0.0,1.9e-07,0.0,2e-08,0.0,0.0,0.0,0.0
IM_cylindrical_unipolar_cortical,cylindrical_unipolar_cortical,12,0.0,0.58407643,0.31086371,0.0882489,0.01508939,0.00157594,0.00011891,2.005e-05,2.22e-06,2.74e-06,5.9e-07,7.1e-07,2.3e-07,8e-08,6e-08,0.0,1e-08,1e-08,0.0,1e-08,0.0
IM_cylindrical_unipolar_scarred,cylindrical_unipolar_scarred,13,0.0,0.59822749,0.29342186,0.09040056,0.01618863,0.00161408,0.00012028,2.054e-05,2.05e-06,2.81e-06,5.7e-07,7.3e-07,2.4e-07,8e-08,7e-08,0.0,1e-08,1e-08,0.0,1e-08,0.0
IM_discoid,bifacial_discoid,16,0.0,0.00167525,0.90281603,4.166e-05,0.09354256,8.72e-06,0.00179133,1.1e-07,3.183e-05,1e-08,4.659e-05,0.0,3.087e-05,0.0,1.226e-05,0.0,2.6e-06,0.0,1.4e-07,0.0,4e-08
IM_discoid_unifacial,unifacial_discoid,8,0.0,0.81497705,0.06214682,0.11661961,0.00585026,0.00026918,0.00011754,5.57e-06,2.07e-06,2.25e-06,3.04e-06,2.14e-06,2.01e-06,1.11e-06,8e-07,3.4e-07,1.7e-07,5e-08,1e-08,0.0,0.0
SDG_L2_489,,4,0.0,0.66242733,0.23692865,0.08640033,0.01324709,0.00090537,6.583e-05,1.78e-05,1.3e-06,4e-06,6.5e-07,1.03e-06,3.3e-07,1.2e-07,1.1e-07,0.0,2e-08,2e-08,0.0,2e-08,0.0
SDG_L2_494,,5,0.0,0.63085614,0.29047602,0.06839152,0.00946219,0.00074343,4.665e-05,1.696e-05,1.9e-06,3.26e-06,6.2e-07,8.5e-07,2.6e-07,9e-08,7e-08,0.0,1e-08,2e-08,0.0,1e-08,0.0
SDG_L3_1066,,12,0.0,0.78904602,0.17768638,0.02804371,0.00467034,0.00046563,3.377e-05,3.344e-05,1.81e-06,1.297e-05,1.06e-06,3.57e-06,5.1e-07,5e-07,1.7e-07,1e-08,3e-08,4e-08,0.0,4e-08,0.0
SDG_L3_1163,,6,0.0,0.63213868,0.27025338,0.08608237,0.01017583,0.00124949,7.609e-05,1.763e-05,1.39e-06,3.08e-06,6.2e-07,8e-07,3.6e-07,9e-08,1.2e-07,0.0,2e-08,2e-08,0.0,1e-08,0.0
SDG_L3_1191,,6,0.0,0.74864012,0.20566174,0.03945253,0.00568448,0.00048509,3.845e-05,2.18e-05,1.66e-06,9.48e-06,1.07e-06,2.49e-06,5e-07,3.2e-07,1.6e-07,0.0,3e-08,3e-08,0.0,3e-08,0.0
SDG_L3_1318,,9,0.0,0.41182928,0.52101608,0.02887439,0.03674494,0.00116153,0.00023708,7.82e-05,1.037e-05,3.053e-05,4.14e-06,9.66e-06,1.34e-06,1.89e-06,2.8e-07,1.5e-07,2e-08,4e-08,0.0,7e-08,1e-08
SDG_L3_1416,,11,0.0,0.84615922,0.12746655,0.02341789,0.00238956,0.00042364,4.794e-05,6.045e-05,2.58e-06,2.207e-05,1.58e-06,6.3e-06,8.2e-07,9.3e-07,2.8e-07,1e-08,5e-08,5e-08,0.0,7e-08,0.0
SDG_L3_1437,,8,0.0,0.76779884,0.08582311,0.12033346,0.02410353,0.00161594,0.00022351,5.244e-05,1.638e-05,1.676e-05,6.83e-06,4.99e-06,2.41e-06,9.1e-07,6.1e-07,8e-08,8e-08,4e-08,1e-08,4e-08,1e-08
SDG_L3_1492,,12,0.0,0.73358482,0.22390309,0.03708322,0.00490509,0.0004087,3.71e-05,4.775e-05,2.08e-06,1.913e-05,1.54e-06,5.4e-06,8.3e-07,8e-07,2.9e-07,1e-08,5e-08,5e-08,0.0,6e-08,0.0
SDG_L3_1547,,10,0.0,0.63755413,0.28730675,0.05259007,0.02099613,0.00136894,8.822e-05,5.475e-05,4.07e-06,2.367e-05,2.85e-06,6.85e-06,1.6e-06,1.12e-06,5.7e-07,5e-08,1.1e-07,5e-08,0.0,7e-08,0.0
SDG_L3_155,,15,0.0,0.53090669,0.39551131,0.05779957,0.01518415,0.0004712,9.89e-05,1.62e-05,2.32e-06,5.46e-06,1.45e-06,1.46e-06,7.6e-07,1.9e-07,2.6e-07,0.0,4e-08,2e-08,0.0,2e-08,0.0
SDG_L3_1677,,8,0.0,0.80600558,0.14349409,0.04344748,0.00669839,0.00025265,2.164e-05,4.557e-05,4.8e-06,1.942e-05,2.06e-06,6.16e-06,6.1e-07,1.22e-06,1e-07,1.2e-07,0.0,5e-08,0.0,5e-08,0.0
SDG_L3_1748,,7,0.0,0.79263518,0.13697939,0.05771865,0.01175199,0.00082876,3.786e-05,2.876e-05,1.26e-06,1.239e-05,1.04e-06,3.32e-06,6e-07,4.4e-07,2.2e-07,0.0,4e-08,4e-08,0.0,4e-08,0.0
SDG_L3_188,,7,0.0,0.70387911,0.25331398,0.0398133,0.00284385,9.689e-05,1.728e-05,2.047e-05,2.3e-06,8.41e-06,1.2e-06,2.21e-06,4.9e-07,2.8e-07,1.4e-07,0.0,2e-08,3e-08,0.0,3e-08,0.0
SDG_L3_303,,10,0.0,0.22682818,0.68716272,0.0668307,0.01806299,0.00098212,0.00011574,8.28e-06,4.51e-06,1.61e-06,1.66e-06,4.3e-07,7.4e-07,6e-08,2.2e-07,0.0,3e-08,1e-08,0.0,1e-08,0.0
SDG_L3_434,,6,0.0,0.73531651,0.21752363,0.03842041,0.00741856,0.00113145,0.00010811,5.35e-05,4.07e-06,1.603e-05,1.54e-06,4.62e-06,6.1e-07,6.8e-07,1.7e-07,1e-08,3e-08,4e-08,0.0,5e-08,0.0
SDG_L3_55,,6,0.0,0.55600746,0.36058312,0.06781942,0.01419707,0.00130032,6.923e-05,1.352e-05,2.3e-06,4.1e-06,1.31e-06,1.09e-06,6.3e-07,1.6e-07,2e-07,1e-08,3e-08,2e-08,0.0,1e-08,0.0
SDG_L3_636,,9,0.0,0.77974434,0.17009096,0.03553413,0.0135157,0.00097613,7.085e-05,4.074e-05,2.59e-06,1.641e-05,1.07e-06,5.33e-06,3.2e-07,1.13e-06,6e-08,1.5e-07,1e-08,5e-08,0.0,4e-08,0.0
