"ID","Pos_X","Pos_Y","Pos_Z","Scar_ID","Start_X","Start_Y","Start_Z","End_X","End_Y","End_Z","Length","Direct_X","Direct_Y","Direct_Z","Typology"
"EXP01_Levallois preferential",0.144019969272146,45.1994127565209,5.08531426295275,1,-12.6177892740169,107.599759139571,0.89239335653741,2.5572198576619,86.8704642402357,15.2431565306979,29.426671113991,0.515688950098873,-0.70443900429769,0.487678783596335,"Levallois preferential"
"EXP01_Levallois preferential",0.144019969272146,45.1994127565209,5.08531426295275,2,-41.1615153663228,79.5205894676695,3.52066975924798,-24.2406270811438,67.3109572444045,14.5847505747095,23.6179055734831,0.716443218579755,-0.516965070644256,0.468461556891129,"Levallois preferential"
"EXP01_Levallois preferential",0.144019969272146,45.1994127565209,5.08531426295275,3,10.767419741597,7.06606301460814,-5.67325472253596,3.50682185037495,23.5294470025232,-28.6896241334237,29.2149371885343,-0.248523481134559,0.563526249660271,-0.787828817236708,"Levallois preferential"
"EXP01_Levallois preferential",0.144019969272146,45.1994127565209,5.08531426295275,4,28.2422585778669,11.8936811370621,7.70290603864204,24.6092710580512,17.3875146237511,11.0078767526809,7.36910008883422,-0.49300287362367,0.745522983873339,0.448490409167684,"Levallois preferential"
"EXP01_Levallois preferential",0.144019969272146,45.1994127565209,5.08531426295275,5,25.6941773798914,9.50144279258094,6.4705406660554,10.7474185226541,26.4524004869109,-27.5017934022671,40.8026965915375,-0.366317917829412,0.415437191909654,-0.832600217784829,"Levallois preferential"
"EXP01_Levallois preferential",0.144019969272146,45.1994127565209,5.08531426295275,6,-7.71791152986123,-1.44323881527021,6.5568648402678,-1.2144491003606,11.81094081415,-18.7462605393282,29.2953316280328,0.221996545800404,0.452433165724509,-0.863725514388216,"Levallois preferential"
"EXP01_Levallois preferential",0.144019969272146,45.1994127565209,5.08531426295275,7,46.9734475476047,53.1862037383207,8.14167763068143,25.7089723806928,58.4507594550333,-33.8832021904544,47.3918133753024,-0.448695115304314,0.111085762324009,-0.886753994584147,"Levallois preferential"
"EXP01_Levallois preferential",0.144019969272146,45.1994127565209,5.08531426295275,8,-39.3703366524839,80.8758202282427,2.31746566509366,-19.8709625286835,68.7107416301699,-18.2609436858097,30.8494029104385,0.632082707740267,-0.394337570597079,-0.667060215416364,"Levallois preferential"
"EXP01_Levallois preferential",0.144019969272146,45.1994127565209,5.08531426295275,9,0.205544005359769,-0.678203850569787,3.11995979467338,1.35347003818817,15.8698065195413,-22.9476473337722,30.8978077343545,0.0371523456517612,0.535572313491737,-0.843671737249554,"Levallois preferential"
"EXP01_Levallois preferential",0.144019969272146,45.1994127565209,5.08531426295275,10,-20.5083482912058,5.87960507640314,2.64641103628235,-6.49514983842754,30.9527516585173,-29.9442467706975,43.4417240299782,0.32257463914434,0.577167392454584,-0.750215571198089,"Levallois preferential"
"EXP01_Levallois preferential",0.144019969272146,45.1994127565209,5.08531426295275,11,-21.5997932579572,100.20783387536,5.89037244856167,-13.7586359063174,89.2679901712028,-12.7460541493189,22.9886999463378,0.341087463403465,-0.4758791810626,-0.810677708673539,"Levallois preferential"
"EXP01_Levallois preferential",0.144019969272146,45.1994127565209,5.08531426295275,12,37.3131750563771,91.115670375625,6.75194332220325,15.354692112157,95.0865273121414,10.2452883450594,22.586414887507,-0.972198689060908,0.175807314099803,0.154665759938216,"Levallois preferential"
"EXP01_Levallois preferential",0.144019969272146,45.1994127565209,5.08531426295275,13,43.9890802032924,35.7445128346837,8.76956887751816,37.5302192006049,42.7604015560172,-10.6738385027912,21.6560769891235,-0.298247046587961,0.323968589733826,-0.897826849714038,"Levallois preferential"
"EXP01_Levallois preferential",0.144019969272146,45.1994127565209,5.08531426295275,14,42.320503086875,83.0784782215981,6.79733142575057,10.3231507290735,62.5772525575554,-36.1276836925073,57.3296409768977,-0.558129299478705,-0.357602547560069,-0.74874034420616,"Levallois preferential"
"EXP01_Levallois preferential",0.144019969272146,45.1994127565209,5.08531426295275,15,-45.6569530234337,58.1090015651229,7.76413770601376,-30.6816839874482,51.6032289078711,14.0018519738299,17.4783534652126,0.856789460505592,-0.372218851747125,0.356882258974286,"Levallois preferential"
"EXP01_Levallois preferential",0.144019969272146,45.1994127565209,5.08531426295275,16,19.1310387010362,7.18624297761,4.94781989751479,17.841472187094,10.6132015363338,-1.30176043930765,7.24322311843902,-0.178037662633835,0.473126190190089,-0.862817593028847,"Levallois preferential"
"EXP01_Levallois preferential",0.144019969272146,45.1994127565209,5.08531426295275,17,-15.1926615794657,1.24435313817864,6.69661052873752,-4.668801743076,9.22183473838847,-13.9082538023862,24.4735014381203,0.430010387479643,0.325964048110581,-0.841925475323659,"Levallois preferential"
"EXP01_Levallois preferential",0.144019969272146,45.1994127565209,5.08531426295275,18,-46.3676952618947,44.2369283845701,5.80968936751921,-40.1479912090103,46.226165643321,-4.9174280778556,12.5583769677428,0.495263366345838,0.158399231354531,-0.854180239447204,"Levallois preferential"
"EXP01_Levallois preferential",0.144019969272146,45.1994127565209,5.08531426295275,19,-48.2012936260008,48.8348645574236,5.93279766212614,-34.3236987058504,45.1166859258821,14.1733946189618,16.5626064165289,0.837887139931131,-0.224492361771686,0.497542279855894,"Levallois preferential"
"EXP01_Levallois preferential",0.144019969272146,45.1994127565209,5.08531426295275,20,-32.7879082253236,33.7551974992184,-6.48342040850938,-7.46502325598566,45.2896856563337,-34.8420594617461,39.7304081173189,0.637367854227992,0.290318894360596,-0.71377668634808,"Levallois preferential"
"EXP01_Levallois preferential",0.144019969272146,45.1994127565209,5.08531426295275,21,-33.3220694599257,18.5773770695582,12.3572724859936,-31.859649924014,31.8743163525256,-6.27915128865079,22.9404349632275,0.0637485530791335,0.579628908705604,-0.812383191710086,"Levallois preferential"
"EXP01_Levallois preferential",0.144019969272146,45.1994127565209,5.08531426295275,22,32.1373747019145,15.7681660398885,7.82606244853267,21.1628677835797,30.2804674941022,-21.5459222649536,34.5508347454562,-0.317633625907635,0.420027520641083,-0.850109264504789,"Levallois preferential"
"EXP01_Levallois preferential",0.144019969272146,45.1994127565209,5.08531426295275,23,40.949316058612,27.9081791460997,6.03285432980283,29.4404520869237,34.0970668639098,13.0858314702214,14.849268252872,-0.775045865944429,0.416780652919588,0.474971360225405,"Levallois preferential"
"EXP01_Levallois preferential",0.144019969272146,45.1994127565209,5.08531426295275,24,-28.0090052857083,9.20663403751464,9.45871376482601,-22.8620568251698,18.1328563933599,-8.71879518190135,20.8947446863986,0.246327415710846,0.42719939821307,-0.869956020977847,"Levallois preferential"
