ID,Typology,n_scars,power_l0,power_l1,power_l2,power_l3,power_l4,power_l5,power_l6,power_l7,power_l8,power_l9,power_l10,power_l11,power_l12,power_l13,power_l14,power_l15,power_l16,power_l17,power_l18,power_l19,power_l20
EXP01_Levallois preferential,Levallois preferential,35,0.0,0.26505947,0.34442357,0.22705675,0.06630794,0.07543453,0.01398265,0.00600372,0.00135932,0.00029171,5.683e-05,1.753e-05,4.6e-06,7.4e-07,4.1e-07,7e-08,7e-08,3e-08,1e-08,2e-08,0.0
EXP02_Cylindrical bidirectional,Bidirectional,19,0.0,0.1366799,0.29890459,0.1434274,0.32007409,0.04722026,0.0386973,0.00876784,0.00538706,0.00057023,0.00023128,3.129e-05,6.39e-06,1.47e-06,6e-07,1.8e-07,6e-08,2e-08,2e-08,1e-08,1e-08
EXP03_Conical unidirectional,Unidirectional,10,0.0,0.36147342,0.31339372,0.17507672,0.08126404,0.03953325,0.01905927,0.00746308,0.0021727,0.00047062,7.974e-05,1.16e-05,1.6e-06,2.1e-07,3e-08,0.0,0.0,0.0,0.0,0.0,0.0
EXP04_Levallois preferential,Levallois preferential,29,0.0,0.32948316,0.22654149,0.26526195,0.1072727,0.04626282,0.01282891,0.00937195,0.00236542,0.00049588,6.963e-05,2.869e-05,7.94e-06,4.91e-06,2e-06,1.58e-06,5.5e-07,3e-07,9e-08,2e-08,1e-08
EXP05_Levallois preferential,Levallois preferential,24,0.0,0.25218574,0.21954641,0.16409159,0.23721317,0.10540622,0.01454153,0.00469828,0.00152385,0.00060613,0.00014683,3.091e-05,6.03e-06,1.97e-06,7.8e-07,2.6e-07,1.5e-07,5e-08,5e-08,2e-08,3e-08
EXP06_Levallois convergent,Levallois convergent,22,0.0,0.37164468,0.10586384,0.28814109,0.17707476,0.03591668,0.01254811,0.00728312,0.00121992,0.00019392,7.377e-05,2.535e-05,8.95e-06,3.65e-06,1.39e-06,5.3e-07,1.5e-07,3e-08,1e-08,2e-08,2e-08
EXP07_Levallois preferential,Levallois preferential,27,0.0,0.31080607,0.35239536,0.19122639,0.07142025,0.03742119,0.02228307,0.01001384,0.00352442,0.00070116,0.00013699,5.384e-05,1.173e-05,3.56e-06,1.33e-06,4.8e-07,1.9e-07,4e-08,3e-08,3e-08,2e-08
EXP08_Levallois preferential,Levallois preferential,28,0.0,0.37954228,0.26339773,0.27254268,0.04372008,0.021233,0.00982787,0.00758776,0.0017561,0.00025169,0.00010838,2.224e-05,6.33e-06,2.41e-06,9e-07,2.4e-07,1.7e-07,5e-08,2e-08,4e-08,1e-08
EXP09_Levallois preferential,Levallois preferential,27,0.0,0.25550308,0.24758708,0.21474093,0.19084706,0.06145169,0.01923518,0.00651868,0.00320575,0.00072373,0.00014626,2.125e-05,1.189e-05,4.38e-06,2.02e-06,3.2e-07,4.5e-07,9e-08,6e-08,1e-07,1e-08
EXP10_Cylindrical unidirectional,Unidirectional,33,0.0,0.29864902,0.26536129,0.22282381,0.13419852,0.05285425,0.01773336,0.00625758,0.0017185,0.00033435,5.824e-05,9.5e-06,1.32e-06,2e-07,4e-08,1e-08,0.0,0.0,0.0,0.0,0.0
