ID,Typology,n_scars,power_l0,power_l1,power_l2,power_l3,power_l4,power_l5,power_l6,power_l7,power_l8,power_l9,power_l10,power_l11,power_l12,power_l13,power_l14,power_l15,power_l16,power_l17,power_l18,power_l19,power_l20
EXP01_Levallois preferential,Levallois preferential,35,0.0,0.44777496,0.38574896,0.13807301,0.01915595,0.00850412,0.00058835,0.00012859,9.95e-06,9.52e-06,1.93e-06,2.92e-06,8.2e-07,5.5e-07,2.5e-07,4e-08,4e-08,2e-08,0.0,2e-08,0.0
EXP02_Cylindrical bidirectional,Bidirectional,19,0.0,0.30835967,0.44521345,0.11654718,0.12007749,0.00732683,0.0022694,0.00016952,2.897e-05,3e-06,2.42e-06,8.8e-07,7e-07,2.5e-07,1.5e-07,4e-08,2e-08,0.0,0.0,0.0,0.0
EXP03_Conical unidirectional,Unidirectional,10,0.0,0.55516985,0.31852306,0.09949658,0.0218697,0.00413731,0.00069513,9.823e-05,9.48e-06,4.6e-07,9e-08,5e-08,5e-08,0.0,1e-08,0.0,0.0,0.0,0.0,0.0,0.0
EXP04_Levallois preferential,Levallois preferential,29,0.0,0.5523335,0.25673008,0.15634413,0.02874799,0.00506895,0.00058468,0.00015371,1.683e-05,1.055e-05,2.97e-06,3.85e-06,9.9e-07,1.16e-06,2.2e-07,2.7e-07,2e-08,6e-08,0.0,3e-08,1e-08
EXP05_Levallois preferential,Levallois preferential,24,0.0,0.50315559,0.2852086,0.11952043,0.0772435,0.01378671,0.0009016,0.00011548,3.633e-05,9.09e-06,1.269e-05,2.81e-06,4.77e-06,6.9e-07,1.33e-06,1e-07,2.1e-07,1e-08,2e-08,1e-08,2e-08
EXP06_Levallois convergent,Levallois convergent,22,0.0,0.64403232,0.12179396,0.17900309,0.05024402,0.00414311,0.00062259,0.00013041,1.394e-05,6.4e-06,4.84e-06,2.43e-06,1.62e-06,7e-07,3.7e-07,1.3e-07,4e-08,1e-08,0.0,0.0,1e-08
EXP07_Levallois preferential,Levallois preferential,27,0.0,0.49560003,0.37221652,0.10796523,0.01870997,0.00431744,0.00098919,0.0001484,1.99e-05,1.947e-05,4.74e-06,5.24e-06,1.99e-06,1e-06,5.8e-07,1.1e-07,9e-08,5e-08,0.0,4e-08,1e-08
EXP08_Levallois preferential,Levallois preferential,28,0.0,0.57725675,0.2602278,0.14864895,0.01094913,0.00233877,0.00045102,0.00011085,7.19e-06,2.84e-06,3.28e-06,1.1e-06,1.33e-06,4e-07,4e-07,1.1e-07,7e-08,2e-08,0.0,0.0,0.0
EXP09_Levallois preferential,Levallois preferential,27,0.0,0.48067022,0.30358895,0.14689527,0.05969674,0.00789753,0.00105304,0.00012794,2.107e-05,3.099e-05,4.87e-06,8.77e-06,1.87e-06,1.85e-06,5.4e-07,1.7e-07,9e-08,3e-08,1e-08,5e-08,1e-08
EXP10_Cylindrical unidirectional,Unidirectional,33,0.0,0.51315375,0.30106819,0.13954159,0.03912219,0.00624147,0.00077094,9.302e-05,7.3e-06,9.6e-07,2.3e-07,1.9e-07,1e-07,3e-08,3e-08,1e-08,0.0,0.0,0.0,0.0,0.0
