model,scope,comparison,n,n_coords,R2,pseudo_F,p,p_holm,significant_holm,n_sig_pairs,n_pairs,sig_pairs,permdisp_F,permdisp_p
MFA-combined,pairwise,Bifacial_adjacent-Bifacial_independent,12,12,0.1278918547493971,1.4664678394059372,0.1644,0.9863999999999999,FALSE,NA,NA,NA,NA,NA
MFA-combined,pairwise,Bifacial_adjacent-Core_on_flake,14,12,0.153364669539502,2.173752935012782,0.0324,0.3888,FALSE,NA,NA,NA,NA,NA
MFA-combined,pairwise,Bifacial_adjacent-Multifacial,22,12,0.09185585291351252,2.0229355264404867,0.052,0.52,FALSE,NA,NA,NA,NA,NA
MFA-combined,pairwise,Bifacial_adjacent-Unifacial_centripetal,21,12,0.08109853065955744,1.6768632263017045,0.107,0.963,FALSE,NA,NA,NA,NA,NA
MFA-combined,pairwise,Bifacial_adjacent-Unifacial_unidirection,17,12,0.1955600450438041,3.646512903274171,0.0023,0.0345,TRUE,NA,NA,NA,NA,NA
MFA-combined,pairwise,Bifacial_independent-Core_on_flake,8,12,0.20625989812105056,1.5591493812606172,0.2211,0.9863999999999999,FALSE,NA,NA,NA,NA,NA
MFA-combined,pairwise,Bifacial_independent-Multifacial,16,12,0.15758729264737276,2.61893259421087,0.0206,0.2678,FALSE,NA,NA,NA,NA,NA
MFA-combined,pairwise,Bifacial_independent-Unifacial_centripetal,15,12,0.15589820253015912,2.400986040981011,0.0428,0.4708,FALSE,NA,NA,NA,NA,NA
MFA-combined,pairwise,Bifacial_independent-Unifacial_unidirection,11,12,0.3181037647677143,4.1984890588729815,0.0047,0.0658,FALSE,NA,NA,NA,NA,NA
MFA-combined,pairwise,Core_on_flake-Multifacial,18,12,0.06791728228644446,1.1658584543320167,0.317,0.9863999999999999,FALSE,NA,NA,NA,NA,NA
MFA-combined,pairwise,Core_on_flake-Unifacial_centripetal,17,12,0.09115086514782186,1.5043893697931612,0.1783,0.9863999999999999,FALSE,NA,NA,NA,NA,NA
MFA-combined,pairwise,Core_on_flake-Unifacial_unidirection,13,12,0.10525259561130425,1.2939725178810189,0.2611,0.9863999999999999,FALSE,NA,NA,NA,NA,NA
MFA-combined,pairwise,Multifacial-Unifacial_centripetal,25,12,0.05264639123813048,1.2781573715220516,0.2514,0.9863999999999999,FALSE,NA,NA,NA,NA,NA
MFA-combined,pairwise,Multifacial-Unifacial_unidirection,21,12,0.07925783786795403,1.6355272750887249,0.1196,0.963,FALSE,NA,NA,NA,NA,NA
MFA-combined,pairwise,Unifacial_centripetal-Unifacial_unidirection,20,12,0.08101719732458108,1.5868736037245827,0.1388,0.9716,FALSE,NA,NA,NA,NA,NA
